Actual,,,Suggested 567 sec,,,,
Onset,Offset,Duration,Onset,Offset,Duration,Stopwatch,Type
0,21,21,0,21,21,00:00,Baseline
21,42,21,21,42,21,00:21,Tools
42,63,21,42,63,21,00:42,Upper Limbs
63,84,21,63,84,21,01:03,Objects
84,105,21,84,105,21,01:24,Scrambled
105,126,21,105,126,21,01:45,Baseline
126,147,21,126,147,21,02:06,Upper Limbs
147,168,21,147,168,21,02:27,Scrambled
168,189,21,168,189,21,02:48,Tools
189,210,21,189,210,21,03:09,Baseline
210,231,21,210,231,21,03:30,Objects
231,252,21,231,252,21,03:51,Scrambled
252,273,21,252,273,21,04:12,Tools
273,294,21,273,294,21,04:33,Baseline
294,315,21,294,315,21,04:54,Objects
315,336,21,315,336,21,05:15,Upper Limbs
336,357,21,336,357,21,05:36,Baseline
357,378,21,357,378,21,05:57,Objects
378,399,21,378,399,21,06:18,Upper Limbs
399,420,21,399,420,21,06:39,Tools
420,441,21,420,441,21,07:00,Scrambled
441,462,21,441,462,21,07:21,Objects
462,483,21,462,483,21,07:42,Baseline
483,504,21,483,504,21,08:03,Scrambled
504,525,21,504,525,21,08:24,Upper Limbs
525,545.75,20.75,525,546,21,08:45,Tools
545.75,563.75,18,546,567,21,09:06,Baseline
